,env,spec,mfcc
0,-0.0297184795432641,0.0419855945648311,0.04123056692817183
1,-0.05473947328504666,0.043896921545886904,0.04733476969016666
2,0.008110736648577945,-0.02196999926843223,-0.019326068094659275
3,0.014883111590883777,0.0008178786004115924,-0.029562028821615554
4,0.029376122723393294,0.01936269781180221,0.08828604974722513
5,-0.04747421697551776,-0.027835033515197106,-0.03900012091588455
6,-0.024828216502441484,-0.05945308014012572,-0.1296347096519616
7,-0.05760634532248728,-0.11196742532434878,-0.08980589226668606
8,-0.026169643630285067,-0.03271141376226147,-0.04000171191737157
9,-0.14570223039810917,-0.13479744584118575,-0.12117995687120427
10,-0.09279762126726514,-0.00016795691086742907,0.0165546256782961
11,-0.04796770834140066,-0.04379280206527318,-0.03904640009231639
12,0.0012710889727184608,-0.07724797674825401,-0.08020889445476281
13,-0.041139955872761536,-0.09242383299980442,-0.10065816848365368
14,0.014982599508761523,-0.03727764008834287,-0.10329555199564341
15,0.09281621564539598,-0.06893758812248517,-0.0020044940286735647
16,0.012722054043836297,0.029496637269871295,0.009118548559033334
17,-0.07751871977147709,-0.12110011507895231,-0.10806763663728261
18,-0.08291096352803853,-0.11263527766586345,-0.051315972182148596
19,0.1401696203642452,0.07864742426219662,0.026490915693114857
20,-0.4058659376103373,-0.07829401731429703,-0.12399451879484617
21,-0.004573698869868225,0.1304811378667416,0.15902543370652425
22,-0.1350825318395825,0.2946153528665728,0.2988265214023479
23,-0.1350825318395825,0.2946153528665728,0.2988265214023479
24,-0.3707394273829513,0.050050719299531796,0.15794381680238684
25,-0.1848352360811452,-0.22607339536315582,-0.14844856781360924
26,-0.20797782943021642,0.15079308200804528,0.27180347431776003
27,-0.20797782943021642,0.15079308200804528,0.27180347431776003
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,-0.024501149608577615,-0.05616472642608171,0.0013800614364701314
33,0.011940244911932876,-0.0009760173998737742,0.002433572161467573
34,-0.07364702799545828,-0.07548953396586358,-0.008031004041896054
35,-0.034720836357684436,-0.10474688368723481,-0.018037298923341438
36,0.006072717627031177,-0.07511995798978262,-0.06581836230859583
37,0.03242730110368699,-0.03210686542715353,-0.030442270407401367
38,0.0016180937728729305,-0.04908090007699082,-0.06114626165336299
39,-0.036129368305207354,-0.06781441356778438,-0.08509172030124719
40,-0.04442678878853095,-0.0013214774147102398,0.05060459613334519
41,-0.02529425182318821,-0.015193563243547753,0.02741689346015134
42,-0.0319996057432589,-0.04215753886426515,0.0057575599874034825
43,-0.02927689930644354,0.048269366432041674,0.06975857703613626
44,0.08711905060826271,0.0006839167132821358,0.012108605837528352
45,0.06337536205151928,-0.01227893741463624,0.013310615818224472
46,0.08769607084472361,-0.08403388461460186,-0.041289500786188524
47,0.0560251852058216,-0.1323714377554014,-0.07482918738245707
48,0.013288890754239275,0.03125408806965372,0.02142519614990513
49,-0.026812737055425896,-0.029917744103451983,-0.08221532015953809
50,-0.07548102052390307,-0.1494096052233283,-0.08457683816378099
51,-0.2113038824987894,-0.01983314207648096,-0.010195083868183089
52,-0.20982634902527889,0.009377016865068904,0.04530044439318336
53,-0.08188311182565097,-0.06756327755555963,0.11889122285628236
54,-0.029604304846293367,0.48460583344162095,0.38158904808782385
55,-0.029604304846293367,0.48460583344162095,0.38158904808782385
56,-0.3707394273829513,0.050050719299531796,0.15794381680238684
57,-0.1848352360811452,-0.22607339536315582,-0.14844856781360924
58,-0.1848352360811452,-0.22607339536315582,-0.14844856781360924
59,-0.20797782943021642,0.15079308200804528,0.27180347431776003
60,-0.20797782943021642,0.15079308200804528,0.27180347431776003
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,-0.061303172912420024,-0.01013221219600179,-0.022888075403272163
65,-0.08138315283215738,0.0015784821850464924,-0.0029018277092706436
66,-0.11796311042197165,0.05936285314995747,0.0678447784139133
67,0.0004420396958971451,-0.061089037645550216,-0.12529672298313793
68,-0.0014578453737680464,-0.008855173578102182,-0.010419803987243393
69,-0.1621933981645503,0.060673780678437074,-0.05136302191831503
70,-0.044149086113156856,0.06925131770487916,0.03754375469624173
71,-0.031536533844025195,-0.045642130048257394,-0.063293077326735
72,-0.08048876189141199,-0.0973718208447206,-0.1145132434419807
73,-0.11419908403068232,-0.13735840872588181,-0.03897034586533617
74,-0.025085100700736673,-0.08937058669832518,-0.02636427746095878
75,-0.04914101543397658,0.07750955091958057,0.0993058826741642
76,0.0015983747937401427,-0.02241685870880634,0.015117778961386424
77,0.01912239286050747,0.003861838481258964,0.009476993799973918
78,-0.017398165955789167,-0.005922077612171436,0.014411179245530828
79,-0.0092122826389651,-0.029053676850228104,-0.010778988976526804
80,0.016722519661252412,-0.10076502065908248,-0.05757951289315925
81,-0.006602693068495502,-0.036810530754757056,-0.03461116027196643
82,0.028261210431280936,0.018932570006196858,-0.006576979514518601
83,-0.13756044727339972,-0.0491483327124263,-0.03067191501595966
84,-0.20228461362243716,-0.2600933958857393,-0.2969712828120023
85,-0.11809843247888456,0.1570131572080895,0.14268172818568473
86,-0.11809843247888456,0.1570131572080895,0.14268172818568473
87,0.023896170755182453,0.07083307329602037,-0.042808836913023826
88,-0.1750436887139783,0.1521261400775475,0.3030330362328607
89,-0.20992515116379695,0.1939498495792455,0.25497920133652097
90,-0.34464773656496006,-0.05907928757295712,-0.044082386020802534
91,-0.34464773656496006,-0.05907928757295712,-0.044082386020802534
92,0.2901199264242448,0.10656349377617273,0.04893779835031342
93,0.2901199264242448,0.10656349377617273,0.04893779835031342
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,-0.028495517572407213,-0.04786386166885682,-0.015317607243968977
97,0.022355917468088717,-0.040815005658898854,-0.02005523207371683
98,0.05343369558792203,-0.09636369905536424,-0.08029152438678586
99,0.07617744997332314,-0.0713943347876371,-0.0859610172426381
100,0.007048522159106091,0.018237423777193406,-0.012842674893477879
101,-0.022339145402670308,0.0824262024212691,0.03574328340522679
102,-0.12266833224538283,-0.01731951223113288,-0.0027323526551059295
103,-0.06223304991750585,-0.021941004360549455,-0.0048033310640210065
104,-0.03131879103771672,-0.1037991630198796,-0.05445699633857008
105,-0.0005521279121991129,-5.288633067587478e-05,0.004231593591007926
106,0.0005685950189169897,-0.05908552750529339,-0.004908485072867397
107,0.0791353177214261,0.0299950055751367,0.04492408145559387
108,-0.02096424776650364,-0.05106702381094384,-0.009365568175356654
109,0.008839062590314863,-0.045493796407466036,-0.03241029954727892
110,0.09129802040125998,-0.003700499056882969,-0.0017151561237445517
111,0.030400595768090143,0.04632258097097817,0.06322750888628408
112,0.052124518569217806,0.01578582493003518,0.005364950348034337
113,0.12185619771052252,-0.011079323319522215,-0.014885845327967467
114,0.09282164200770344,-0.03210107578418814,-0.00982618580175661
115,-0.0847458464673688,0.02627276345346794,0.026075668605896808
116,-0.09162327474556117,-0.043990815595653515,-0.04236189329596555
117,-0.13946951187958226,-0.12148645542738516,-0.16326638989290443
118,-0.09792113282194939,-0.0865365303150959,-0.089093585564456
119,-0.2553848319775277,-0.09216252930037425,0.02695418365116107
120,-0.1235092251577495,-0.11177777990132003,-0.07705780707162871
121,0.04342339604357779,0.44412228887896427,0.39113589780815516
122,0.02957697510297107,0.02517474934257934,0.035344503853562324
123,0.02957697510297107,0.02517474934257934,0.035344503853562324
124,-0.05230065970241542,-0.053353555716643464,-0.04344608616076808
125,-0.025830262382551972,0.39188813775288067,0.14671961377260073
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,-0.08019304081278639,-0.14147773325652632,-0.1150925603941724
129,-0.044353931809809025,-0.11080931382919217,-0.10703900349550606
130,0.04674606499323852,-0.013691182177817673,0.013575293600961259
131,-0.02638078046897756,0.051883566237253695,0.06163708315473121
132,-0.08020570138471941,0.011904742398618554,0.05021477792396926
133,-0.0023570805797469728,-0.02585160968823878,-0.011967637491711185
134,-0.023298861896718003,-0.13749472401684693,-0.13741269425841868
135,-0.012942755286683469,0.021955195817919545,-0.03842004075644678
136,-0.03335027287391459,-0.07781543329585558,-0.0441936929952239
137,-0.014261367273644429,-0.005700788563577723,0.0046277911048817994
138,-0.013071938942381567,0.02999473339398865,0.037979982366044815
139,-0.04022610121720248,0.011783435839411865,0.03585298750562179
140,-0.07075658731857495,0.12302547938278405,0.1397023870604477
141,-0.0055285759524111135,0.08759555636404245,0.08892968024333611
142,-0.02211004800300228,0.006352371440172104,0.020754460182395698
143,-0.006571054104654439,0.0488700656815506,0.006097864030209293
144,-0.0200683964200748,-0.04966799418492922,-0.027861080845738857
145,-0.04453832804109692,0.026523284103983212,-0.004316634047959926
146,-0.02104601451283982,0.06871751579999076,-0.08483266511025324
147,-0.22490632389744092,0.22488884348910093,0.13174627449613524
148,-0.20170870798070015,-0.05887379928724944,0.008779094005014379
149,-0.21727724889300332,-0.15418532962632764,-0.10997999816042418
150,-0.24321929502806952,-0.2135291372375993,-0.1871320102923712
151,-0.1834566003698845,-0.20574958321098724,-0.1701525164112375
152,0.13656574819511444,0.07116791928756608,0.16768463925629534
153,0.11812103010788706,0.07766024632661754,0.049922465251775905
154,0.11812103010788706,0.07766024632661754,0.049922465251775905
155,0.12535787345143018,0.04865282370178818,-0.2960598976826835
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.031054077994278905,-0.03827582326039351,-0.031021184568456317
161,0.04684149506742763,-0.08064044110760257,-0.042439526161699756
162,0.001727571706312242,-0.027026149355690327,-0.022693859978274424
163,-0.00894511576620157,-0.03653910302457031,-0.03815160063351819
164,-0.013064539425764493,-0.00693696145076859,0.0030034256026812353
165,-0.03877890788596575,-0.03485158025652481,-0.0467152648258048
166,-0.04948110011981879,0.041901898479137244,-0.005865660887241072
167,0.006456979504194005,-0.04129531777177113,-0.018229471001821047
168,0.02252610897525506,-0.048304321506070155,-0.03522296752151187
169,0.011204516532083469,0.004646560237669896,-0.033349757951146135
170,-0.005947814703915944,-0.10650633359476477,-0.03805121746755188
171,-0.06791293589602762,-0.051015842288312616,-0.024632630886787264
172,0.06466161629767304,-0.028323829805871593,0.00526598706080233
173,0.05614703865009988,-0.05406889564668871,-0.007945953577639515
174,0.010775244175464927,-0.0295150148758198,0.036834180195726374
175,-0.0585907610698206,-0.027404989411422737,-0.01733154651455814
176,-0.11091149417938984,-0.10781586380196928,-0.049250754262435616
177,-0.10850632831092966,-0.11013723399064834,-0.06907187907595504
178,0.07137636615848622,0.07615449726856907,0.0344887553498639
179,0.10931698553050269,0.0029970242626796593,-0.015012365625975809
180,0.046381547864364304,0.04350202536670319,-0.0027374159213255284
181,0.04923155625779604,0.08808530381912423,0.0718932053758856
182,0.035071755682892475,-0.015968146484773547,-0.029867259696490723
183,-0.010877210106885686,-0.056816026716187275,-0.05741675486313882
184,-0.1688952113824242,-0.15434271422467744,-0.16548264144704872
185,-0.19873705489870835,-0.1262375079791903,-0.03710490596147682
186,-0.2305280481282205,0.09517090547760161,0.12212422138793877
187,-0.3124098909637323,-0.1738886144978383,-0.07117914811257227
188,-0.1284471475648195,0.10932841553064113,-0.09663878785682571
189,-0.1284471475648195,0.10932841553064113,-0.09663878785682571
190,0.288916272738806,0.0957395856442907,-0.008912683673319191
191,0.15722297595220278,-0.024153762958342907,-0.050281881240072636
192,-0.0328126941440118,-0.14328803406236543,-0.029670270480929684
193,-0.06795273410632063,-0.08550011434804203,-0.008000791135793123
194,-0.06930001193131503,0.004638649817063839,0.014776267278586585
195,-0.054072316449911104,0.03322400523007842,0.08523893521567723
196,-0.04418322555514339,0.06109652377977418,0.044329965809039286
197,-0.20759902828868318,0.011449849660250621,0.12422946329553461
198,-0.07045148736531849,0.05580234812826727,0.038976766308378666
199,0.098806908018453,-0.0025581264755290913,-0.08303964963595789
200,0.061026152954032575,0.04353945166941289,0.055802710783837514
201,-0.0646579849764514,-0.034505855102355654,0.04790623122616168
202,-0.04679499399891433,0.004504651831236707,0.009062675439663829
203,-0.036569254379949144,0.01736172096812203,0.018669591945949034
204,-0.04188269325365569,-0.048439039542836695,-0.02250092899209585
205,0.0796764483681669,-0.06738745781325597,-0.022017811930325253
206,0.11411384343330763,-0.026988064945384232,-0.002482572673861655
207,0.0718358026048439,-0.03215706710573063,0.021937502824938428
208,-0.016471054163368765,0.0239239786106922,0.017419453848418285
209,0.04359364982108931,0.06937052046543946,0.06164297275413735
210,0.009020200730397616,0.028346317865134994,0.024402904181196387
211,-0.04101887513872933,0.0767637705887286,0.030028721402636505
212,-0.06477238331365057,0.021849129188847616,-0.0481461019453916
213,0.017339486806985237,0.028787624805504886,-0.11984936094197825
214,0.03151897921749351,0.05978864475592645,-0.11610500505792398
215,-0.004577149220579108,0.02847492396763514,0.0495580863789334
216,0.02656458966101411,-0.1099437848327025,-0.10429687470435185
217,0.044592584780404,-0.10783229616428833,-0.07924025193170742
218,-0.02426112003606088,-0.13173367371626415,-0.13430858044399907
219,0.028230804272935915,0.009921649549046643,0.0463802469226724
220,-0.28416651777657276,0.041210612875786486,-0.17893326306201768
221,0.2919128426260899,-0.01998659197689851,0.07444177669403287
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,-0.10326975100616924,-0.12997627551783508,-0.1791351582999113
225,-0.07374378135394649,-0.1327849706295098,-0.15771396379343713
226,-0.002344140905332698,-0.11821588368036921,-0.12345955134279891
227,0.011302442387539585,0.07511199235673297,0.0937556074519571
228,0.0089762046939297,0.08408698202471884,0.09249671908949729
229,-0.05236548317244285,-0.04150482139991134,-0.012255544677311738
230,0.012569835551183337,-0.05538137631179141,-0.04386824977451857
231,-0.0030652757344316675,-0.0655471083012962,-0.08042622103809746
232,0.007398081641904708,0.011051292733410241,0.040352230827983185
233,-4.036098724313625e-05,0.03828973136967082,0.053262269022420074
234,-0.025954378370028675,-0.029083736408014694,0.03049195144658424
235,0.01968283372313636,0.02785017503450657,-0.012741968694241157
236,-0.01755724939573003,0.06253001405637655,0.04680869564464024
237,0.010775414464813674,0.09794724056956945,0.04849493037137192
238,0.04282476777121613,-0.07732409204330422,-0.028787452341166437
239,0.053899341454374625,-0.004566660537041317,0.05423245361377747
240,-0.05473855699653777,-0.020884560106319915,-0.017542120817641955
241,0.10390751666561412,0.06068174910681094,0.10550789225590533
242,0.0780848438040151,0.06144322891129654,0.08193854729911232
243,0.022499866727965435,0.08437051028108444,0.07486009406372458
244,-0.02501955241848945,0.05729606242534666,-0.017028535191328305
245,-0.01473036777425151,0.020774613869119198,-0.009443327477787092
246,0.005188283315149758,-0.024006779540695494,-0.0365394100177688
247,0.03482705301052037,0.08414985110006669,0.07173140881473485
248,-0.02036962990919975,-0.04679625282213899,-0.011354975310188276
249,0.09025199468088782,-0.04533531877469353,0.004516641380881673
250,0.09547969379245737,-0.07050632522265224,-0.04998954817477151
251,-0.05743875573676068,-0.055834103199555285,-0.04052563736487608
252,-0.07307873000011092,-0.08719869200971339,-0.08129209032646414
253,0.021704239935421053,0.17538239596973004,-0.06083342902081372
254,-0.014392980742423723,0.028191703486598895,-0.049955908119852975
255,-0.16482855464589136,-0.008003488246595825,0.2885909418535803
256,0.05231954766616459,0.04822797013634185,-0.011299345424786849
257,0.11544824395872996,0.11315656979510455,0.10184367344665082
258,0.07367594171734701,0.10192198081172062,0.09436060016469067
259,0.03573634904843371,0.00699070802152328,0.0039799383600300055
